Datum;Uur;Aantal_check_ins
9-2-2023;23;41.3
10-2-2023;0;13.6
10-2-2023;1;1.3
10-2-2023;2;0.7
10-2-2023;3;0.9
10-2-2023;4;1.8
10-2-2023;5;11.8
10-2-2023;6;55.9
10-2-2023;7;181.1
10-2-2023;8;249.4
10-2-2023;9;158.1
10-2-2023;10;132.6
10-2-2023;11;140.2
10-2-2023;12;176
10-2-2023;13;180.9
10-2-2023;14;209.1
10-2-2023;15;238.1
10-2-2023;16;246.4
10-2-2023;17;249.9
10-2-2023;18;183.5
10-2-2023;19;116.3
10-2-2023;20;85
10-2-2023;21;77.9
10-2-2023;22;85.8
10-2-2023;23;69.5
11-2-2023;0;32.9
11-2-2023;1;6.5
11-2-2023;2;2.9
11-2-2023;3;2.5
11-2-2023;4;2.7
11-2-2023;5;5.1
11-2-2023;6;16
11-2-2023;7;36.8
11-2-2023;8;65.6
11-2-2023;9;95.8
11-2-2023;10;114.1
11-2-2023;11;141.4
11-2-2023;12;160.2
11-2-2023;13;173.9
11-2-2023;14;175.5
11-2-2023;15;172
11-2-2023;16;172.8
11-2-2023;17;168
11-2-2023;18;139.2
11-2-2023;19;111.1
11-2-2023;20;88.1
11-2-2023;21;78.4
11-2-2023;22;82.9
11-2-2023;23;75
12-2-2023;0;38.9
12-2-2023;1;8.1
12-2-2023;2;3.7
12-2-2023;3;3.3
12-2-2023;4;3.6
12-2-2023;5;4.5
12-2-2023;6;5.4
12-2-2023;7;15.5
12-2-2023;8;30.3
12-2-2023;9;54.2
12-2-2023;10;73.8
12-2-2023;11;98.9
12-2-2023;12;116.8
12-2-2023;13;133.9
12-2-2023;14;135.9
12-2-2023;15;134.4
12-2-2023;16;129.3
12-2-2023;17;123.6
12-2-2023;18;108.8
12-2-2023;19;96.1
12-2-2023;20;77.7
12-2-2023;21;61
12-2-2023;22;46.1
12-2-2023;23;27.1
13-2-2023;0;8.2
13-2-2023;1;0.7
13-2-2023;2;0.4
13-2-2023;3;0.4
13-2-2023;4;1.7
13-2-2023;5;17.6
